1.39	-0.861224	0.387069	-0.329348	0.335326	0.664674
1.4	-0.865926	0.378629	-0.326822	0.336589	0.663411
1.41	-0.870508	0.370099	-0.32441	0.337795	0.662205
1.42	-0.874969	0.361484	-0.322114	0.338943	0.661057
1.43	-0.879308	0.352788	-0.319935	0.340032	0.659968
1.44	-0.883523	0.344012	-0.317873	0.341063	0.658937
1.45	-0.887613	0.33516	-0.31593	0.342035	0.657965
1.46	-0.891576	0.326235	-0.314105	0.342947	0.657053
1.47	-0.895413	0.317241	-0.3124	0.3438	0.6562
1.48	-0.899121	0.308181	-0.310816	0.344592	0.655408
1.49	-0.902699	0.299057	-0.309352	0.345324	0.654676
1.5	-0.906147	0.289874	-0.30801	0.345995	0.654005
1.51	-0.909463	0.280635	-0.306791	0.346605	0.653395
1.52	-0.912647	0.271343	-0.305693	0.347153	0.652847
1.53	-0.915697	0.262002	-0.304719	0.347641	0.652359
1.54	-0.918613	0.252614	-0.303868	0.348066	0.651934
1.55	-0.921394	0.243184	-0.303141	0.34843	0.65157
1.56	-0.924039	0.233714	-0.302538	0.348731	0.651269
1.57	-0.926548	0.224209	-0.30206	0.34897	0.65103
1.58	-0.928919	0.214672	-0.301706	0.349147	0.650853
1.59	-0.931152	0.205106	-0.301477	0.349262	0.650738
1.6	-0.933246	0.195515	-0.301372	0.349314	0.650686
1.61	-0.935202	0.185902	-0.301393	0.349303	0.650697
1.62	-0.937018	0.176272	-0.30154	0.34923	0.65077
1.63	-0.938694	0.166627	-0.301811	0.349095	0.650905
1.64	-0.940229	0.156971	-0.302207	0.348897	0.651103
1.65	-0.941624	0.147308	-0.302728	0.348636	0.651364
1.66	-0.942878	0.137642	-0.303374	0.348313	0.651687
1.67	-0.943991	0.127975	-0.304145	0.347927	0.652073
1.68	-0.944962	0.118313	-0.30504	0.34748	0.65252
1.69	-0.945791	0.108657	-0.306059	0.34697	0.65303
1.7	-0.946479	0.099013	-0.307203	0.346399	0.653601
1.71	-0.947026	0.0893834	-0.308469	0.345765	0.654235
1.72	-0.94743	0.0797721	-0.309859	0.345071	0.654929
1.73	-0.947693	0.0701828	-0.31137	0.344315	0.655685
1.74	-0.947815	0.0606191	-0.313004	0.343498	0.656502
1.75	-0.947796	0.0510848	-0.31476	0.34262	0.65738
1.76	-0.947635	0.0415833	-0.316636	0.341682	0.658318
1.77	-0.947334	0.0321184	-0.318632	0.340684	0.659316
1.78	-0.946893	0.0226936	-0.320747	0.339626	0.660374
1.79	-0.946312	0.0133127	-0.322982	0.338509	0.661491
1.8	-0.945591	0.00397917	-0.325333	0.337333	0.662667
1.81	-0.944732	-0.00530336	-0.327802	0.336099	0.663901
1.82	-0.943734	-0.0145313	-0.330387	0.334807	0.665193
1.83	-0.942599	-0.0237011	-0.333086	0.333457	0.666543
